method,seed,cost,latency,energy,miss_rate
DQN[256x256],0,0.6128582803822097,0.5228471504461194,0.35143470515915015,9.185
DQN[256x256],1,0.6144080327036047,0.5366237567051033,0.3460961543510531,9.345
DQN[256x256],2,0.6096768926067073,0.52958355668449,0.3448851142644623,9.52
DQN[256x256],3,0.6309304582398082,0.5781992422414196,0.34183083711909845,10.975
DQN[256x256],4,0.6160162467602581,0.524478616323998,0.3537769385982592,9.205
DQN[64x64],0,0.6138516511504966,0.5286402368179582,0.3495315327415174,9.79
DQN[64x64],1,0.6167474258905835,0.5331170266921229,0.35018891254452195,9.83
DQN[64x64],2,0.6228947737203152,0.536549288447374,0.35462012949662813,10.605
DQN[64x64],3,0.6120984095344341,0.5206521963985711,0.3517723113351485,9.565
DQN[64x64],4,0.6181794372782726,0.5215738263443164,0.35739252410611444,9.515
DQN[16x16],0,0.6125690173480642,0.535831154274467,0.3446534402108308,11.32
DQN[16x16],1,0.6135291200408526,0.5419928414105019,0.3425326993356016,11.68
DQN[16x16],2,0.6249802660326484,0.5361330224303894,0.3569137548174538,11.2
DQN[16x16],3,0.6249169661526589,0.5236630851742303,0.36308542356554374,10.57
DQN[16x16],4,0.6146555277416983,0.5212734583294779,0.35401879857695945,10.33
PPO[64x64],0,0.6465235564605379,0.5043138253826828,0.3943666437691966,9.055
PPO[64x64],1,0.6607413535853003,0.5228778169328793,0.3993024451188608,9.845
PPO[64x64],2,0.6346334150241535,0.5136504100103809,0.37780821001896314,9.16
PPO[64x64],3,0.6257484252949213,0.5104100133060465,0.3705434186418981,9.485
PPO[64x64],4,0.6325448353892686,0.5109772530169803,0.37705620888077845,9.135
