method,w1,latency,energy,latency_std,energy_std
"DQN[64,64]",0.1,0.543513198363678,0.3411777039124812,0.003160202069737781,0.0007346338120405432
Greedy,0.1,0.5503034423635227,0.3380453089298054,0.022750756438313497,0.02967950222307194
"DQN[64,64]",0.3,0.530666280319081,0.3479209459955907,0.004221135337261237,0.0017722959389733946
Greedy,0.3,0.538763648746566,0.3395845621885998,0.021518872844342396,0.02976846342299833
"DQN[64,64]",0.5,0.5327688506524851,0.35144685826088917,0.003238229386061112,0.0022598340356503872
Greedy,0.5,0.5258721102546388,0.34404471989237606,0.020829431894052515,0.029837917004545488
"DQN[64,64]",0.7,0.5136643767128292,0.37078833515963044,0.009487107231372716,0.005279935795480108
Greedy,0.7,0.5117794558106145,0.35493056100863885,0.019752022598363166,0.030556738180808188
"DQN[64,64]",0.9,0.5059449300394817,0.3888329731366329,0.004550632094942366,0.004804115000339737
Greedy,0.9,0.5003386782652288,0.37834442023296205,0.020063734540305262,0.029529363916050128
AlwaysLocal,,0.5996915974817729,0.5996915974817729,0.01592459493923294,0.015924594939232945
AlwaysEdge,,1.1408722258883364,0.4766370748629351,0.13690875818057238,0.06834533840072422
