shift,scale,method,cost,cost_std,miss_rate
rate,0.5,"DQN[64,64]",0.8352033653885123,0.008054258414309632,27.165999999999997
rate,0.5,Greedy,0.7692977581984145,0.0300400478090629,13.005
rate,1.0,"DQN[64,64]",0.6167543395148204,0.00417849157556434,9.861
rate,1.0,Greedy,0.6069807750196954,0.03903436580603034,8.945
rate,2.0,"DQN[64,64]",0.5085441794721678,0.00826419401401079,5.587999999999999
rate,2.0,Greedy,0.425652177639856,0.04039627091570045,4.17
bgload,0.5,"DQN[64,64]",0.6130902537488214,0.002445084876863805,9.706
bgload,0.5,Greedy,0.6051599975387664,0.03915672509289663,8.89
bgload,1.0,"DQN[64,64]",0.6167543395148204,0.00417849157556434,9.861
bgload,1.0,Greedy,0.6069807750196954,0.03903436580603034,8.945
bgload,2.0,"DQN[64,64]",0.6242093135147164,0.008671928022630152,10.208000000000002
bgload,2.0,Greedy,0.6081707896768971,0.03899880960102695,8.97
