#{"t_start": 1781207820.7434273, "env_id": "None"}
r,l,t
-284.314676,200,0.044178
-260.849012,200,0.10791
-258.931957,200,0.178596
-235.657964,200,0.249816
-210.120892,200,0.31067
-283.827428,200,0.371146
-276.755539,200,0.431253
-298.517371,200,0.491678
-275.654058,200,0.553027
-232.937861,200,0.613539
-223.601657,200,0.674754
-243.614985,200,0.735935
-227.742834,200,0.79695
-253.425318,200,0.858016
-226.871072,200,0.918873
-211.503512,200,0.991548
-218.841665,200,1.065531
-225.293964,200,1.136973
-271.273402,200,1.210713
-255.406913,200,1.282263
-262.520913,200,1.355631
-229.277856,200,1.428412
-256.696328,200,1.499812
-221.834735,200,1.570244
-248.359291,200,1.641627
-252.242932,200,1.711977
-265.716785,200,1.783097
-240.684602,200,1.854188
-264.024505,200,1.925158
-260.190269,200,1.995625
-242.81815,200,2.067409
-245.682625,200,2.139389
-230.788757,200,2.213262
-269.650377,200,2.288211
-252.21718,200,2.363578
-222.29207,200,2.440563
-269.590577,200,2.51004
-211.565047,200,2.575756
-237.543225,200,2.639474
-240.907409,200,2.702012
-231.01064,200,2.765771
-205.994427,200,2.831388
-245.948399,200,2.89608
-216.603742,200,2.961613
-206.02966,200,3.028237
-215.579679,200,3.095175
-227.944063,200,3.161465
-221.54637,200,3.228057
-242.774831,200,3.294964
-251.572609,200,3.361244
-292.271199,200,3.428497
-256.913775,200,3.496462
-242.885354,200,3.56435
-256.072544,200,3.630816
-245.511919,200,3.698086
-255.366116,200,3.763483
-220.476781,200,3.828876
-216.792671,200,3.89691
-214.989623,200,3.96449
-263.698699,200,4.031142
-261.851647,200,4.099252
-241.583402,200,4.167859
-218.037274,200,4.235179
-207.873738,200,4.303415
-228.636664,200,4.371215
-223.059213,200,4.439173
-260.277366,200,4.508179
-227.194538,200,4.576293
-234.201183,200,4.64391
-252.6612,200,4.71081
-248.336757,200,4.779659
-244.865304,200,4.848104
-224.812982,200,4.916512
-211.344849,200,4.987649
-208.773687,200,5.05303
-276.13475,200,5.118824
-268.521802,200,5.185492
-224.560821,200,5.251218
-240.725607,200,5.316559
-238.960858,200,5.385623
-202.787886,200,5.453075
-222.021259,200,5.522394
-224.705073,200,5.599238
-239.893866,200,5.680532
-221.317986,200,5.760085
-216.612331,200,5.838518
-200.719432,200,5.914665
-211.301042,200,5.991379
-235.775447,200,6.066463
-204.248094,200,6.142275
-212.305393,200,6.219414
-228.582493,200,6.295948
-216.159349,200,6.372006
-254.179927,200,6.451078
-241.250764,200,6.526819
-222.314642,200,6.605157
-211.807829,200,6.681322
-232.397855,200,6.760083
-215.188668,200,6.837547
-242.350138,200,6.914511
-257.418146,200,6.992575
-230.358326,200,7.070951
-249.424741,200,7.146945
-193.583373,200,7.220464
-228.679893,200,7.291167
-193.950839,200,7.360307
-227.929537,200,7.42859
-238.812274,200,7.50033
-171.662749,200,7.572491
-214.970061,200,7.643637
-227.071864,200,7.715171
-216.527342,200,7.787455
-228.770582,200,7.859746
-224.871517,200,7.932885
-236.54806,200,8.003867
-253.299595,200,8.076847
-215.490426,200,8.149609
-231.077169,200,8.22137
-221.621495,200,8.294111
-220.652221,200,8.366478
-260.69667,200,8.43806
-194.839143,200,8.509872
-227.295616,200,8.581962
-215.524191,200,8.65643
-225.160029,200,8.73021
-191.995751,200,8.80149
-215.114952,200,8.874979
-216.55107,200,8.948216
-221.814748,200,9.020224
-184.675813,200,9.09345
-196.291958,200,9.166553
-226.466483,200,9.237949
-225.823424,200,9.309686
-208.996707,200,9.383282
-242.111027,200,9.45611
-225.481099,200,9.529599
-191.312701,200,9.604782
-218.367436,200,9.67757
-208.156707,200,9.750684
-220.407822,200,9.823298
-215.563475,200,9.898058
-222.038946,200,9.972601
-209.501823,200,10.05032
-224.707193,200,10.125236
-207.34077,200,10.199326
-207.679756,200,10.274531
-185.538459,200,10.348948
-212.60363,200,10.421083
-230.541449,200,10.494257
-179.405129,200,10.570312
-231.573137,200,10.645511
-220.532854,200,10.720271
-202.289873,200,10.79464
-201.686077,200,10.86963
-215.138993,200,10.94503
-227.497858,200,11.021045
-205.196662,200,11.095572
-194.973427,200,11.171634
-213.051268,200,11.245026
-190.311886,200,11.321849
-214.095537,200,11.396727
-221.896056,200,11.471379
-212.870658,200,11.547835
-193.130187,200,11.626754
-207.170235,200,11.712045
-210.151485,200,11.78391
-229.130072,200,11.855026
-203.106437,200,11.928055
-219.774017,200,12.001401
-229.775227,200,12.075649
-197.711149,200,12.152845
-186.099466,200,12.228957
-230.939087,200,12.30461
-203.120314,200,12.381476
-233.594663,200,12.456601
-223.889325,200,12.533166
-223.616449,200,12.609851
-197.747225,200,12.686856
-196.191109,200,12.764741
-207.674375,200,12.841559
-197.143208,200,12.919285
-181.325906,200,12.996696
-200.861839,200,13.073138
-196.042365,200,13.149481
-180.729725,200,13.22599
-195.448657,200,13.301457
-179.637755,200,13.377574
-188.734512,200,13.45496
-185.446313,200,13.533825
-185.645014,200,13.612217
-193.376408,200,13.690591
-199.954027,200,13.7682
-196.449817,200,13.846707
-206.478715,200,13.924626
-173.230813,200,14.001502
-210.767052,200,14.08158
-187.622843,200,14.159997
-186.963588,200,14.238414
-209.297545,200,14.315698
-180.442315,200,14.394084
-190.924937,200,14.472063
-185.027551,200,14.549672
-207.181708,200,14.627672
-190.577726,200,14.705716
-208.14624,200,14.784084
-194.520724,200,14.863731
-186.714508,200,14.942211
-195.048646,200,15.021137
-188.197489,200,15.099296
-194.12608,200,15.177784
-168.160595,200,15.25807
-232.217675,200,15.337381
-187.262181,200,15.417483
-211.999312,200,15.496714
-202.83952,200,15.575277
-182.021515,200,15.656057
-208.91254,200,15.734869
-185.856556,200,15.813282
-154.102064,200,15.892773
-200.866024,200,15.969468
-185.64359,200,16.051249
-196.068609,200,16.13106
-211.483086,200,16.21068
-167.473005,200,16.291483
-182.507233,200,16.372892
-184.145288,200,16.452324
-182.487267,200,16.533259
-196.769298,200,16.614303
-195.579628,200,16.694846
-186.161628,200,16.774937
-208.006541,200,16.855926
-207.189848,200,16.937615
-216.294433,200,17.018322
-177.407476,200,17.099928
-191.765341,200,17.181624
-192.671263,200,17.264064
-199.234031,200,17.345444
-173.203989,200,17.427299
-163.388397,200,17.507217
-173.040947,200,17.589212
-175.726914,200,17.671797
-190.034949,200,17.75414
-168.510629,200,17.83635
-193.135693,200,17.91918
-169.148773,200,17.999998
-171.862162,200,18.081688
-185.914209,200,18.162641
-165.283317,200,18.245769
-166.725969,200,18.327145
-177.170874,200,18.408942
-193.615413,200,18.491379
-159.5533,200,18.574052
-165.686434,200,18.654934
-179.6006,200,18.736748
-171.208296,200,18.818983
-173.012504,200,18.901001
-174.753613,200,18.98974
-165.270424,200,19.073627
-183.899704,200,19.156416
-164.56999,200,19.238507
-183.46654,200,19.320446
-175.790189,200,19.398972
-188.122671,200,19.478073
-188.728055,200,19.562243
-177.14016,200,19.649381
-173.525837,200,19.737565
-181.423724,200,19.829538
-180.101064,200,19.929425
-177.644679,200,20.02952
-180.744061,200,20.123367
-190.044831,200,20.215652
-164.051565,200,20.314404
-167.371677,200,20.408314
-169.214858,200,20.502163
-185.890314,200,20.592808
-169.007471,200,20.684452
-185.279141,200,20.77608
-166.834675,200,20.866213
-153.893917,200,20.956322
-157.513429,200,21.046382
-154.721248,200,21.137015
-187.48422,200,21.22842
-168.163028,200,21.319898
-163.307057,200,21.407205
-165.703666,200,21.492127
-188.026237,200,21.572723
-177.863193,200,21.653073
-175.315052,200,21.733377
-167.910267,200,21.813523
-180.956815,200,21.8938
-164.19326,200,21.973594
-160.699117,200,22.054193
-179.338997,200,22.134252
-170.352921,200,22.214584
-161.127278,200,22.295088
-183.070539,200,22.374797
-153.097969,200,22.455088
-171.834818,200,22.535551
-181.638603,200,22.615933
-160.378615,200,22.696375
-173.935149,200,22.77745
-179.068901,200,22.858622
-161.359818,200,22.942108
-163.811674,200,23.026415
-169.671512,200,23.110755
-168.578085,200,23.194651
-165.687948,200,23.27905
-173.965951,200,23.363474
-164.889738,200,23.447348
-171.259441,200,23.530994
-160.885636,200,23.615205
-179.352099,200,23.699781
-174.256522,200,23.783897
-160.31091,200,23.868265
-166.776636,200,23.952341
-168.994171,200,24.0368
-181.420718,200,24.119375
-154.138189,200,24.200269
-163.934446,200,24.281649
-171.723632,200,24.362387
-158.440097,200,24.446414
-157.471293,200,24.531452
-173.594488,200,24.615875
-175.78833,200,24.700118
-169.505582,200,24.784487
-153.087072,200,24.868695
-177.224163,200,24.953537
-182.437898,200,25.037271
-163.443874,200,25.118476
-171.143136,200,25.199977
-168.017708,200,25.281163
-151.015351,200,25.363085
-168.582515,200,25.44374
-157.820659,200,25.524901
-164.532174,200,25.605702
-170.056437,200,25.687253
-168.583026,200,25.768197
-144.878849,200,25.849192
-176.774557,200,25.930367
-169.539177,200,26.012146
-176.562742,200,26.096605
-178.356495,200,26.18169
-171.45707,200,26.266537
-169.094878,200,26.351947
-155.406363,200,26.436553
-174.803341,200,26.521534
-162.646025,200,26.603298
-164.036795,200,26.683903
-150.346268,200,26.765074
-167.405668,200,26.846114
-151.866461,200,26.930469
-168.630019,200,27.013727
-155.78143,200,27.098805
-172.386069,200,27.182997
-151.491296,200,27.267627
-155.992292,200,27.352213
-155.784265,200,27.43702
-153.501569,200,27.521636
-150.42868,200,27.606215
-156.3006,200,27.689802
-165.671357,200,27.772799
-165.526337,200,27.856912
-170.292173,200,27.940782
-164.658385,200,28.02581
-173.513094,200,28.111165
-181.829744,200,28.195557
-163.183313,200,28.280645
-167.65945,200,28.365543
-175.993065,200,28.450342
-178.186571,200,28.536146
-157.688353,200,28.619569
-157.608379,200,28.70396
-170.050487,200,28.78838
-170.766635,200,28.873087
-175.336689,200,28.957715
-169.559746,200,29.042636
-180.300777,200,29.127319
-144.876394,200,29.211747
-177.48385,200,29.296423
-174.057324,200,29.381135
-169.882896,200,29.462505
-174.157761,200,29.543549
-168.989995,200,29.625243
-166.427792,200,29.710088
-162.163947,200,29.804875
-150.706407,200,29.901079
-183.393386,200,30.006689
-171.648552,200,30.107268
-170.296614,200,30.205157
-157.701624,200,30.302401
-166.137165,200,30.399776
-173.306185,200,30.49932
-151.420637,200,30.597849
-157.6915,200,30.694398
-161.674754,200,30.791115
-155.756748,200,30.888651
-161.568625,200,30.986408
-170.022968,200,31.083818
-160.629822,200,31.176397
-171.695072,200,31.269219
-160.07569,200,31.361671
-158.409768,200,31.454007
-180.856916,200,31.542082
-170.09539,200,31.625964
-162.388919,200,31.706926
-172.01135,200,31.787099
-179.08162,200,31.867337
-173.102616,200,31.947587
-159.197362,200,32.027809
-167.83228,200,32.108449
-163.754666,200,32.189318
-179.620988,200,32.269799
-166.037446,200,32.350699
-167.566942,200,32.430951
-153.726722,200,32.511282
-170.453559,200,32.592367
-172.239477,200,32.672981
-174.199841,200,32.753674
-154.786478,200,32.834512
-174.915333,200,32.91533
-165.760821,200,32.996106
-185.359576,200,33.076697
-175.798512,200,33.157045
-144.699382,200,33.23777
-154.230563,200,33.317667
-164.896867,200,33.398994
-146.084223,200,33.479379
-158.764004,200,33.559847
-174.869394,200,33.640495
-162.603065,200,33.721129
-181.653693,200,33.80327
-160.70815,200,33.883485
-145.802432,200,33.963951
-155.557761,200,34.044554
-177.115274,200,34.129559
-156.632068,200,34.214192
-162.355122,200,34.2981
-155.516319,200,34.382601
-154.273929,200,34.466697
-161.814749,200,34.559711
-167.024485,200,34.658181
-183.416588,200,34.754929
-167.306368,200,34.849492
-168.973789,200,34.94269
-174.470079,200,35.037651
-194.11581,200,35.129718
-168.07468,200,35.222066
-166.185981,200,35.316921
-191.610788,200,35.409543
-161.134233,200,35.502023
-155.568714,200,35.595537
-162.340382,200,35.689212
-180.424012,200,35.785999
-166.164692,200,35.881174
-165.150205,200,35.978204
-158.524876,200,36.074734
-172.661301,200,36.169727
-162.900822,200,36.263736
-151.74531,200,36.356693
-154.742263,200,36.451459
-170.172234,200,36.545293
-172.420021,200,36.637258
-162.264911,200,36.729106
-156.924078,200,36.821127
-152.122228,200,36.91354
-174.084402,200,37.0072
-164.879233,200,37.100796
-164.137884,200,37.192598
-167.200959,200,37.283917
-179.535522,200,37.375688
-179.59138,200,37.467145
-158.553222,200,37.559641
-172.575825,200,37.651343
-162.071198,200,37.742855
-169.538743,200,37.831104
-164.51773,200,37.914463
-178.665866,200,37.994509
-165.232188,200,38.079011
-163.462683,200,38.164277
-164.534333,200,38.246797
-168.677439,200,38.328119
-169.177015,200,38.408805
-151.296966,200,38.490248
-174.980589,200,38.577142
-154.527665,200,38.657893
-148.427613,200,38.740426
-171.056634,200,38.82583
-153.815254,200,38.91096
-151.069962,200,38.995943
-151.589349,200,39.080182
-171.341592,200,39.16591
-149.279759,200,39.249042
-160.644736,200,39.32986
-189.68282,200,39.411877
-170.551057,200,39.496081
-171.957516,200,39.580481
-158.057197,200,39.666183
-151.632022,200,39.758986
-160.470919,200,39.844889
-162.086396,200,39.929424
-158.207864,200,40.012643
-157.908584,200,40.097779
-164.23227,200,40.181992
-178.127545,200,40.265989
-173.972761,200,40.349945
-167.928884,200,40.434341
-159.086201,200,40.518906
-180.61126,200,40.602636
-170.870587,200,40.687199
-162.442646,200,40.77632
-159.319987,200,40.858671
-153.296478,200,40.940883
-174.213727,200,41.026488
-166.773892,200,41.111009
-159.49061,200,41.196128
-152.342809,200,41.280866
-175.185901,200,41.364769
-167.116197,200,41.449681
-148.667031,200,41.535847
-180.998442,200,41.61989
-174.895952,200,41.705244
-182.198887,200,41.790849
-160.896181,200,41.874986
-157.779391,200,41.959597
-169.386643,200,42.045084
-168.225043,200,42.131097
-171.91838,200,42.21632
-155.904151,200,42.300452
-158.649084,200,42.384854
-171.393014,200,42.469198
-160.274911,200,42.553995
-178.488925,200,42.637715
-149.95989,200,42.72155
-161.999333,200,42.805216
-167.898197,200,42.889565
-168.993254,200,42.973341
-168.890033,200,43.058073
-171.283808,200,43.14188
-135.183665,200,43.226612
-160.412349,200,43.31068
-169.139227,200,43.396757
-176.703321,200,43.481248
-173.353338,200,43.566203
-167.669715,200,43.650103
-173.675493,200,43.73459
-159.212741,200,43.818639
-148.78573,200,43.902841
-155.876205,200,43.987461
-170.787063,200,44.071442
-160.348409,200,44.155407
-180.291635,200,44.239959
-164.74639,200,44.324678
-162.626202,200,44.409308
-172.607516,200,44.493398
-165.239491,200,44.578463
-171.143937,200,44.662888
-156.391982,200,44.747269
-157.648165,200,44.831419
-180.144549,200,44.915694
-165.527742,200,45.000451
-158.04665,200,45.08517
-158.956071,200,45.169111
-170.473413,200,45.253381
-166.871126,200,45.336427
-163.106234,200,45.420642
-160.277293,200,45.505749
-172.656207,200,45.590277
-163.387451,200,45.674596
-171.025063,200,45.759514
-172.171482,200,45.843793
-160.913964,200,45.928387
-174.658103,200,46.012754
-177.471228,200,46.096953
-184.308497,200,46.177495
-159.531537,200,46.258641
-175.987951,200,46.339277
-190.264648,200,46.420063
-160.32836,200,46.501043
-168.761262,200,46.582039
-182.86763,200,46.661221
-156.966482,200,46.742233
-170.9326,200,46.822513
-170.093704,200,46.903084
-176.289786,200,46.98389
-164.041825,200,47.063722
-159.884347,200,47.144043
-177.298474,200,47.224208
-156.352672,200,47.304842
-159.928497,200,47.385895
-173.037473,200,47.467087
-171.192435,200,47.548167
-168.364223,200,47.62888
-186.292039,200,47.709411
-137.96252,200,47.790587
-189.162368,200,47.871137
-157.40981,200,47.951534
-151.735478,200,48.031899
-177.20386,200,48.113715
-171.210436,200,48.1944
-169.226251,200,48.275638
-166.515919,200,48.357453
-158.110572,200,48.439041
-150.618938,200,48.520731
-167.607671,200,48.60251
-166.560028,200,48.684804
-160.566311,200,48.768949
-150.425504,200,48.853594
-147.537439,200,48.938277
-175.525359,200,49.024699
-163.702095,200,49.108956
-170.694675,200,49.193508
-178.157497,200,49.277986
-159.3791,200,49.36262
-171.065964,200,49.446629
-173.733707,200,49.530946
-189.887198,200,49.6149
-191.166364,200,49.699079
-166.40399,200,49.783004
-157.574012,200,49.867355
-176.358873,200,49.95204
-166.973516,200,50.037056
-174.485719,200,50.122025
-162.036462,200,50.206959
-151.598717,200,50.291353
-152.423835,200,50.376626
-177.463875,200,50.460266
-160.220339,200,50.544345
-158.397269,200,50.627908
-171.274853,200,50.708244
-180.179671,200,50.789665
-160.39254,200,50.872954
-145.837464,200,50.957646
-178.897981,200,51.042849
-161.99587,200,51.127313
-161.317756,200,51.212137
-143.323371,200,51.296416
-178.367597,200,51.381069
-183.090135,200,51.465502
-178.836521,200,51.550407
-159.056732,200,51.634423
-177.499238,200,51.719008
-163.781817,200,51.80329
-161.371249,200,51.887663
-178.254743,200,51.971812
-166.219494,200,52.055425
-180.561935,200,52.139998
-162.489519,200,52.223497
-159.268511,200,52.305798
-163.011611,200,52.391107
-159.399169,200,52.474941
-158.380745,200,52.559834
-154.819047,200,52.644595
-161.714998,200,52.728702
-170.525456,200,52.813422
-172.506394,200,52.897742
-161.729332,200,52.982639
-155.639729,200,53.06725
-147.848461,200,53.151043
-182.766362,200,53.235148
-163.027489,200,53.319529
-165.098134,200,53.404187
-178.664705,200,53.488806
-158.322631,200,53.573594
-164.258119,200,53.65785
-151.28607,200,53.742069
-165.174694,200,53.826582
-155.449143,200,53.910432
-150.365498,200,53.994953
-156.696405,200,54.08014
-169.353531,200,54.164653
-178.128448,200,54.249029
-161.306526,200,54.330723
-181.655828,200,54.410947
-147.407235,200,54.491936
-162.967642,200,54.574894
-166.655501,200,54.659576
-157.043118,200,54.743855
-164.380447,200,54.828081
-167.918741,200,54.91295
-159.019227,200,54.997852
-157.187684,200,55.080014
-169.220267,200,55.160924
-138.875354,200,55.244575
-151.209571,200,55.327768
-168.431924,200,55.411962
-171.596636,200,55.495147
-164.606676,200,55.578081
-181.032022,200,55.659254
-169.323493,200,55.739475
-145.889399,200,55.820882
-162.920658,200,55.905136
-173.359229,200,55.989288
-164.797797,200,56.074048
-160.328594,200,56.157765
-164.006654,200,56.24087
-159.331434,200,56.325001
-160.879297,200,56.407789
-171.757856,200,56.487806
-147.611096,200,56.571343
-173.195475,200,56.655576
-174.978962,200,56.739805
-169.861848,200,56.823945
-168.697484,200,56.907903
-185.586755,200,56.991917
-163.092399,200,57.076088
-172.350786,200,57.160761
-165.486894,200,57.243735
-172.400566,200,57.327871
-160.47856,200,57.411947
-172.693245,200,57.496348
-154.022827,200,57.580331
-164.462208,200,57.664382
-158.591386,200,57.749078
-149.496343,200,57.832508
-160.623789,200,57.916984
-143.38846,200,58.002309
-156.217898,200,58.087248
-170.554212,200,58.171737
-163.512112,200,58.256895
-174.204892,200,58.340911
-169.529648,200,58.426316
-167.311598,200,58.511552
-158.267997,200,58.596773
-157.475038,200,58.680438
-157.051832,200,58.763827
-153.406625,200,58.848243
-153.958441,200,58.932336
-182.406782,200,59.016307
-156.643834,200,59.101013
-172.857178,200,59.184913
-161.33908,200,59.269052
-169.417605,200,59.353182
-180.86637,200,59.437071
-174.778,200,59.5208
-184.826229,200,59.605435
-165.346973,200,59.690509
-168.461329,200,59.77463
-181.738579,200,59.85827
-163.060669,200,59.9438
-157.44861,200,60.028942
-171.541908,200,60.110044
-161.690049,200,60.190716
-148.152703,200,60.274633
-170.376106,200,60.36315
-162.921077,200,60.446904
-144.892372,200,60.531672
-175.8143,200,60.615632
-160.744436,200,60.699842
-161.46936,200,60.783571
-153.967117,200,60.866371
-165.97328,200,60.948137
-165.139153,200,61.028799
-160.394463,200,61.109227
-154.888175,200,61.189696
-157.578555,200,61.270501
-165.204543,200,61.350512
-158.611716,200,61.430864
-173.298801,200,61.514475
-173.552378,200,61.599501
-158.922555,200,61.683676
-164.226965,200,61.767992
-173.200031,200,61.85202
-154.200775,200,61.933915
-164.555572,200,62.015538
-169.943923,200,62.100007
-191.507046,200,62.184771
-161.979171,200,62.269821
-156.472649,200,62.355413
-171.702717,200,62.440583
-151.396904,200,62.525453
-169.124978,200,62.610434
-169.571064,200,62.696477
-171.187683,200,62.781773
-179.40714,200,62.868578
-164.484838,200,62.953388
-179.95515,200,63.038815
-162.752072,200,63.123833
-161.047786,200,63.210039
-163.734454,200,63.296433
-156.778573,200,63.377983
-182.911347,200,63.460636
-154.614916,200,63.543704
-162.396739,200,63.6264
