#{"t_start": 1781198669.2557015, "env_id": "None"}
r,l,t
-234.109068,200,0.039603
-223.286261,200,0.102207
-253.15075,200,0.172243
-233.906859,200,0.235191
-225.798157,200,0.299625
-225.606842,200,0.362302
-258.590804,200,0.424882
-230.746371,200,0.489194
-247.136184,200,0.552675
-276.767099,200,0.614663
-266.244552,200,0.678059
-240.024934,200,0.740606
-271.184439,200,0.803167
-237.587073,200,0.865605
-199.293739,200,0.927909
-240.72045,200,0.991867
-246.809172,200,1.055313
-235.867609,200,1.118583
-206.70057,200,1.18191
-247.375002,200,1.246671
-230.291071,200,1.318191
-194.297856,200,1.385092
-236.100477,200,1.451802
-215.601763,200,1.517302
-232.084756,200,1.582789
-199.882009,200,1.648769
-236.77113,200,1.713828
-255.301374,200,1.777591
-215.984328,200,1.841939
-195.703502,200,1.906415
-232.425171,200,1.970699
-236.974572,200,2.035561
-256.538971,200,2.100269
-282.012291,200,2.166601
-231.360075,200,2.231835
-242.978598,200,2.297321
-232.045837,200,2.362915
-202.313922,200,2.429059
-212.559456,200,2.495789
-235.283854,200,2.562505
-210.061091,200,2.630258
-210.402529,200,2.69877
-182.782304,200,2.768453
-193.939232,200,2.835346
-232.704456,200,2.901054
-193.324794,200,2.970218
-199.343511,200,3.042997
-238.520777,200,3.114868
-226.689432,200,3.181572
-259.648666,200,3.248958
-217.496036,200,3.317665
-218.637408,200,3.386799
-224.301052,200,3.456618
-221.815467,200,3.523721
-267.031742,200,3.592819
-240.008922,200,3.661163
-281.603364,200,3.729308
-196.539407,200,3.798739
-202.235103,200,3.865028
-208.97055,200,3.934987
-217.683112,200,4.002953
-207.214307,200,4.07441
-242.341832,200,4.143166
-223.398635,200,4.212691
-223.669126,200,4.278733
-240.694609,200,4.346053
-250.310565,200,4.428197
-243.746531,200,4.513873
-242.560673,200,4.600376
-214.333253,200,4.689363
-226.82412,200,4.779133
-224.393351,200,4.863239
-262.449873,200,4.936944
-264.258072,200,5.011696
-220.709671,200,5.084756
-264.636797,200,5.156187
-207.9615,200,5.226903
-230.447292,200,5.297114
-207.708247,200,5.368234
-220.802419,200,5.43957
-258.428642,200,5.5122
-220.13633,200,5.581935
-226.828969,200,5.649869
-190.339973,200,5.718488
-241.0013,200,5.78848
-210.7453,200,5.85916
-214.51517,200,5.930176
-172.574981,200,6.003899
-192.663668,200,6.073827
-195.772985,200,6.144254
-252.486537,200,6.214765
-214.401113,200,6.285492
-214.585934,200,6.359201
-196.737324,200,6.459386
-222.312008,200,6.531754
-195.098918,200,6.603973
-223.817646,200,6.679306
-197.328135,200,6.749404
-247.521143,200,6.820127
-212.204263,200,6.891278
-187.951305,200,6.961634
-184.661348,200,7.033022
-204.086269,200,7.104844
-198.817845,200,7.176858
-204.194477,200,7.248488
-169.661265,200,7.321603
-176.175972,200,7.393422
-171.723741,200,7.465722
-201.544683,200,7.540318
-185.476535,200,7.616577
-202.411504,200,7.693124
-198.803682,200,7.767364
-234.790083,200,7.838709
-219.522889,200,7.910038
-188.402708,200,7.999435
-220.251961,200,8.10613
-226.285999,200,8.215043
-204.145075,200,8.288862
-205.170362,200,8.362862
-219.540622,200,8.437222
-194.670189,200,8.510409
-197.883346,200,8.582034
-209.008677,200,8.652918
-213.431607,200,8.731236
-193.222463,200,8.815577
-185.251252,200,8.895364
-196.480913,200,8.976719
-181.439416,200,9.053935
-195.643896,200,9.128253
-185.146468,200,9.202526
-167.199179,200,9.277132
-172.004373,200,9.353016
-191.067409,200,9.428788
-194.021998,200,9.501886
-218.080338,200,9.577059
-197.733573,200,9.65177
-183.43301,200,9.730358
-184.186924,200,9.810833
-206.741818,200,9.888308
-169.062758,200,9.964666
-210.214384,200,10.044211
-193.227065,200,10.119637
-185.235859,200,10.193612
-178.183448,200,10.269255
-205.828373,200,10.34326
-176.28187,200,10.418349
-225.2397,200,10.492891
-207.942335,200,10.568327
-170.452084,200,10.644553
-205.232732,200,10.727481
-214.256703,200,10.804432
