#{"t_start": 1781159971.3571208, "env_id": "None"}
r,l,t
-318.017764,200,0.920748
-353.972626,200,0.987943
-337.554291,200,1.054126
-302.226103,200,1.120762
-324.963343,200,1.188155
-334.432133,200,1.25513
-332.581453,200,1.324188
-282.881202,200,1.392863
-361.089929,200,1.461141
-317.914321,200,1.528703
-256.248432,200,1.604878
-252.896825,200,1.674222
-337.699252,200,1.742051
-260.443217,200,1.809783
-293.931257,200,1.877399
-270.677012,200,1.944912
-325.053119,200,2.015623
-259.185425,200,2.083807
-337.111697,200,2.154844
-261.992787,200,2.222891
-288.687878,200,2.292019
-276.301288,200,2.361706
-241.756039,200,2.430189
-290.975772,200,2.498867
-292.905624,200,2.56898
-322.235185,200,2.640936
-275.763414,200,2.709758
-305.618097,200,2.7809
-263.597484,200,2.850701
-316.719756,200,2.921309
-229.678304,200,2.993022
-298.773106,200,3.063886
-266.096178,200,3.133983
-322.427208,200,3.204771
-283.779298,200,3.274801
-268.406127,200,3.345126
-260.877909,200,3.4164
-348.553043,200,3.487155
-267.099269,200,3.557221
-280.798235,200,3.627239
-280.778136,200,3.6977
-299.459883,200,3.767791
-307.999981,200,3.839948
-272.858428,200,3.910655
-310.910102,200,3.981295
-262.175289,200,4.051644
-265.839733,200,4.121629
-262.480305,200,4.188488
-304.417928,200,4.252921
-344.165734,200,4.314661
-291.777725,200,4.376794
-259.059519,200,4.439389
-269.564285,200,4.502206
-268.280893,200,4.564614
-272.045651,200,4.627934
-274.149415,200,4.694214
-239.674124,200,4.759135
-311.909771,200,4.823554
-275.403422,200,4.888494
-302.406242,200,4.954255
-301.43422,200,5.020929
-309.038934,200,5.08686
-300.946179,200,5.152326
-280.891933,200,5.218786
-306.469274,200,5.28402
-295.206149,200,5.351311
-281.744251,200,5.418238
-289.396607,200,5.485775
-209.928637,200,5.551234
-278.371179,200,5.617558
-299.814928,200,5.684093
-354.294108,200,5.750803
-245.805616,200,5.818575
-231.522744,200,5.885645
-313.181053,200,5.952761
-293.213536,200,6.019651
-291.313314,200,6.086532
-264.968607,200,6.154472
-274.717309,200,6.221717
-353.060996,200,6.287706
-258.889654,200,6.351638
-261.1272,200,6.415772
-234.791411,200,6.48042
-256.553953,200,6.545508
-263.422956,200,6.610955
-285.15627,200,6.676181
-250.602576,200,6.741584
-265.486655,200,6.806088
-317.982648,200,6.870287
-295.307036,200,6.935578
-271.639306,200,7.000615
-316.975971,200,7.066623
-266.637857,200,7.133182
-246.716042,200,7.199748
-222.727755,200,7.265211
-265.942295,200,7.331211
-257.018996,200,7.398427
-240.936063,200,7.467584
-261.529163,200,7.5339
-242.896014,200,7.600492
-259.980687,200,7.66691
-264.860449,200,7.731994
-246.380316,200,7.797256
-258.387524,200,7.864668
-271.789474,200,7.931136
-270.920332,200,8.00859
-243.035604,200,8.075346
-294.958329,200,8.150725
-217.099456,200,8.217358
-302.806854,200,8.283182
-258.487973,200,8.354468
-193.561137,200,8.423795
-252.327325,200,8.494988
-217.749265,200,8.565768
-253.917407,200,8.633277
-220.482106,200,8.701128
-267.954555,200,8.769642
-253.234208,200,8.837343
-249.724115,200,8.905503
-303.082061,200,8.97363
-253.265315,200,9.041477
-249.138351,200,9.108796
-244.960499,200,9.17737
-223.236694,200,9.246675
-234.454683,200,9.314532
-255.694754,200,9.383118
-264.141253,200,9.45115
-237.958633,200,9.520132
-227.641026,200,9.588248
-211.229928,200,9.657683
-259.333511,200,9.726741
-308.478139,200,9.794713
-236.254876,200,9.865654
-201.312958,200,9.936268
-263.690461,200,10.006542
-252.03749,200,10.077124
-209.455305,200,10.145876
-233.52906,200,10.217906
-218.205963,200,10.29148
-211.246157,200,10.362515
-212.989756,200,10.434569
-267.675352,200,10.507058
-199.515381,200,10.5795
-227.59227,200,10.652569
-219.78467,200,10.726441
-231.341129,200,10.801197
-263.520781,200,10.874291
-221.054013,200,10.94776
-222.300039,200,11.021631
-241.067996,200,11.093687
-178.895752,200,11.168241
-244.427423,200,11.242431
-221.738828,200,11.314251
-236.79811,200,11.38802
-213.435518,200,11.462388
-249.158593,200,11.53675
-263.375175,200,11.61061
-231.84904,200,11.684166
-228.935448,200,11.757516
-233.918672,200,11.830362
-191.716289,200,11.902177
-179.796866,200,11.972534
-230.773333,200,12.046365
-282.328395,200,12.119037
-241.417212,200,12.193858
-193.73111,200,12.26897
-239.09806,200,12.343436
-209.078202,200,12.417706
-188.039418,200,12.492414
-221.157436,200,12.567139
-215.333892,200,12.640938
-201.457399,200,12.716105
-186.446477,200,12.790565
-210.082969,200,12.866265
-209.517961,200,12.941348
-224.890597,200,13.015514
-187.481769,200,13.091368
-218.393323,200,13.168122
-236.424383,200,13.243114
-202.378238,200,13.316404
-247.623307,200,13.389464
-218.237094,200,13.466295
-232.610267,200,13.541975
-223.043102,200,13.618398
-252.134556,200,13.693045
-198.711528,200,13.767406
-192.632852,200,13.844787
-207.422293,200,13.92059
-203.230858,200,13.997817
-178.171849,200,14.07417
-201.425957,200,14.150655
-213.352728,200,14.228279
-172.873481,200,14.306145
-168.847484,200,14.383001
-194.589908,200,14.460275
-175.591681,200,14.537111
-217.508388,200,14.613176
-238.239125,200,14.690313
-228.570812,200,14.767045
-208.843201,200,14.845108
-201.567366,200,14.923155
-220.593417,200,15.001476
-193.106604,200,15.077357
-201.283626,200,15.155855
-199.364458,200,15.234342
-159.912802,200,15.313638
-206.354647,200,15.392554
-245.123904,200,15.469412
-174.056133,200,15.546962
-183.436715,200,15.621787
-208.777015,200,15.69797
-189.122719,200,15.772843
-170.769961,200,15.848541
-183.569281,200,15.923744
-212.018766,200,15.998545
-159.327798,200,16.074582
-238.033366,200,16.150472
-172.874305,200,16.226917
-189.663724,200,16.302607
-186.607703,200,16.378416
-184.36336,200,16.45565
-184.299629,200,16.533345
-222.464648,200,16.612325
-170.916888,200,16.688599
-179.656118,200,16.765006
-189.016563,200,16.843704
-225.624865,200,16.922205
-209.792542,200,16.998096
-212.26391,200,17.074458
-202.779478,200,17.151603
-203.981437,200,17.228633
-191.650822,200,17.305892
-185.771534,200,17.383345
-222.05898,200,17.461514
-191.766757,200,17.538585
-179.560823,200,17.618885
-196.582169,200,17.6979
-175.986087,200,17.777883
-184.449449,200,17.857564
-210.685202,200,17.937642
-175.517923,200,18.017382
-167.871922,200,18.099409
-166.796139,200,18.1787
-174.130742,200,18.258888
-183.153172,200,18.341164
-203.776066,200,18.423071
-178.529778,200,18.503853
-175.818801,200,18.583947
-181.390829,200,18.671865
-175.966378,200,18.765148
-183.294241,200,18.857795
-160.23849,200,18.949222
-185.89681,200,19.041142
-186.689874,200,19.130688
-169.239304,200,19.220334
-184.587362,200,19.310647
-167.318442,200,19.40066
-149.475594,200,19.492816
-180.339498,200,19.58249
-181.692543,200,19.672005
-188.153809,200,19.76211
-163.197292,200,19.852386
-172.950984,200,19.944435
-178.386347,200,20.034497
-168.668022,200,20.12425
-167.421258,200,20.213898
-159.107806,200,20.300618
-151.216611,200,20.385695
-173.505473,200,20.465816
-157.574479,200,20.543331
-183.697417,200,20.623017
-198.147684,200,20.70333
-163.743139,200,20.781121
-167.706815,200,20.861706
-168.852131,200,20.942462
-146.58586,200,21.022149
-186.653655,200,21.100672
-167.45789,200,21.179886
-167.475282,200,21.261184
-184.43149,200,21.339493
-185.871822,200,21.4187
-174.393047,200,21.500604
-203.293696,200,21.582849
-180.583337,200,21.664147
-183.559255,200,21.744951
-188.751517,200,21.826976
-181.840326,200,21.913371
-187.006882,200,21.995276
-175.230603,200,22.076575
-181.04876,200,22.157157
-170.182203,200,22.238677
-193.315191,200,22.326406
-175.969387,200,22.404818
-180.648373,200,22.485233
-154.779733,200,22.567299
-189.991227,200,22.648986
-185.838354,200,22.729669
-195.268196,200,22.811607
-167.54206,200,22.891404
-192.90629,200,22.970848
-157.022612,200,23.05002
-148.45461,200,23.129128
-186.446998,200,23.210603
-185.774177,200,23.302744
-155.012758,200,23.398277
-148.43227,200,23.486749
-196.558679,200,23.565494
-208.781044,200,23.643874
-178.077104,200,23.722103
-229.65827,200,23.80063
-177.240531,200,23.880513
-166.900522,200,23.960006
-172.201779,200,24.039141
-185.718931,200,24.122543
-152.792202,200,24.201118
-197.728439,200,24.280181
-206.532519,200,24.359505
-177.587668,200,24.439959
-180.773341,200,24.521374
-182.593784,200,24.599712
-184.405583,200,24.678806
-170.171901,200,24.756912
-155.955637,200,24.83568
-154.643518,200,24.914203
-200.446959,200,24.992559
-164.432973,200,25.070891
-178.822546,200,25.14895
-187.270174,200,25.227537
-182.54745,200,25.305543
-170.296721,200,25.38386
-169.974635,200,25.463176
-164.089506,200,25.541394
-176.887971,200,25.619694
-178.887105,200,25.697684
-163.581515,200,25.775233
-175.949867,200,25.853349
-177.530057,200,25.933514
-172.933509,200,26.014328
-163.815548,200,26.095805
-182.172511,200,26.176978
-162.634645,200,26.258524
-165.745727,200,26.33793
-165.983675,200,26.416133
-171.249011,200,26.497347
-159.947002,200,26.579472
-167.910849,200,26.660728
-169.222426,200,26.74686
-186.301854,200,26.829646
-163.239124,200,26.911817
-165.808439,200,26.993762
-175.540331,200,27.075727
-172.822694,200,27.157774
-150.367883,200,27.239749
-163.481861,200,27.321454
-209.596729,200,27.403767
-194.714716,200,27.485912
-163.412246,200,27.567936
-191.276947,200,27.649477
-165.848387,200,27.731982
