#{"t_start": 1781127536.6429806, "env_id": "None"}
r,l,t
-263.613726,200,0.717758
-251.063925,200,0.781218
-251.278203,200,0.843285
-234.424015,200,0.905046
-254.850841,200,0.966485
-261.35934,200,1.029306
-273.577513,200,1.094972
-233.9351,200,1.158665
-264.365058,200,1.221367
-231.577338,200,1.286139
-247.250571,200,1.348532
-265.18283,200,1.418651
-231.758469,200,1.481777
-303.080593,200,1.546534
-233.275168,200,1.610673
-259.579913,200,1.673984
-248.83727,200,1.736541
-239.333614,200,1.800102
-279.40547,200,1.862882
-227.767026,200,1.929521
-234.074113,200,1.995633
-231.113026,200,2.059061
-220.116183,200,2.13135
-246.58566,200,2.21465
-217.798082,200,2.293643
-195.826511,200,2.366585
-259.88402,200,2.437544
-211.494963,200,2.503985
-216.983708,200,2.584863
-234.105279,200,2.678546
-220.059215,200,2.765574
-205.48865,200,2.83376
-211.24044,200,2.906677
-227.822689,200,2.975591
-231.544476,200,3.043708
-259.717277,200,3.115939
-193.687216,200,3.185284
-215.167774,200,3.248708
-216.137598,200,3.314291
-228.042002,200,3.378973
-226.975318,200,3.443496
-205.904638,200,3.508419
-247.051456,200,3.573725
-187.782722,200,3.640095
-216.585399,200,3.705376
-220.469618,200,3.771281
-217.858196,200,3.836541
-221.601519,200,3.903466
-217.159913,200,3.971593
-195.621179,200,4.03907
-207.699878,200,4.107247
-212.570879,200,4.174701
-191.204534,200,4.242347
-196.781572,200,4.310172
-218.054857,200,4.379002
-209.580988,200,4.450123
-190.246505,200,4.515506
-215.605936,200,4.581993
-203.257981,200,4.649635
-193.756278,200,4.717272
-161.947833,200,4.785132
-211.865994,200,4.854056
-222.343862,200,4.924497
-217.259712,200,4.994297
-180.732602,200,5.067207
-212.469652,200,5.133795
-210.238625,200,5.201071
-216.187064,200,5.26913
-196.02834,200,5.338303
-222.125879,200,5.40606
-202.760315,200,5.473695
-204.303082,200,5.541616
-220.713311,200,5.610666
-222.465965,200,5.679656
-215.907729,200,5.749665
-210.766998,200,5.821294
-169.025984,200,5.891559
-196.51035,200,5.962211
-177.969248,200,6.032445
-242.601143,200,6.103221
-204.164218,200,6.17719
-202.575415,200,6.245428
-195.00994,200,6.315013
-192.57265,200,6.383891
-185.668823,200,6.454984
-189.521341,200,6.526322
-208.734976,200,6.597006
-223.743378,200,6.667705
-196.985382,200,6.737065
-197.044173,200,6.806589
-229.088954,200,6.877748
-173.59936,200,6.950047
-205.367835,200,7.021299
-207.728452,200,7.093902
-206.230226,200,7.164152
-196.787157,200,7.235821
-175.590377,200,7.309937
-167.663189,200,7.381068
-245.122153,200,7.45208
-204.143359,200,7.5255
-225.613791,200,7.594406
-190.432188,200,7.66743
-213.894747,200,7.751137
-196.626494,200,7.825653
-179.804922,200,7.905752
-179.255207,200,7.981726
-178.351348,200,8.054402
-165.465095,200,8.140965
-143.353523,200,8.221468
-162.555,200,8.295288
-171.088656,200,8.36811
-170.54039,200,8.440646
-197.444119,200,8.513717
-194.359572,200,8.585783
-160.53523,200,8.65933
-174.131639,200,8.748959
-191.544116,200,8.841374
-177.381294,200,8.935509
-146.359445,200,9.02791
-166.790095,200,9.116664
-205.06255,200,9.193776
-178.175794,200,9.270044
-177.638783,200,9.346423
-186.04569,200,9.425833
-164.471508,200,9.503113
-201.880304,200,9.580165
-201.339072,200,9.668366
-165.375389,200,9.749875
-161.041296,200,9.828645
-171.969542,200,9.906831
-164.918246,200,9.994552
-156.404853,200,10.071505
-147.76261,200,10.154866
-144.813582,200,10.241562
-176.708358,200,10.323555
-159.571546,200,10.404278
-151.206321,200,10.483752
-176.710532,200,10.572728
-158.070299,200,10.655482
-165.023098,200,10.74283
-199.058054,200,10.836251
-184.438048,200,10.933325
-142.343175,200,11.035854
-143.803827,200,11.131264
-158.932088,200,11.228591
-147.039453,200,11.315503
-150.939745,200,11.3997
-149.444912,200,11.476587
-149.843171,200,11.555773
-190.491312,200,11.632798
-181.035897,200,11.708321
-141.985661,200,11.785849
-153.403584,200,11.865659
-144.57587,200,11.953481
-166.44689,200,12.034317
-175.178104,200,12.118629
-155.933726,200,12.200783
-165.310232,200,12.281953
-167.469255,200,12.36269
-146.947079,200,12.443674
-141.744354,200,12.527851
-150.192551,200,12.612416
-141.066448,200,12.691324
-143.253436,200,12.769657
-150.039328,200,12.848504
-145.933737,200,12.932178
-144.724213,200,13.013855
-152.892449,200,13.098346
-148.638281,200,13.179281
-157.318079,200,13.258954
-161.039636,200,13.34033
-170.454031,200,13.421061
-140.107485,200,13.502122
-147.174231,200,13.581425
-138.479277,200,13.66028
-139.517174,200,13.7411
-136.343785,200,13.822495
-124.746793,200,13.904752
-147.642622,200,13.987435
-166.759032,200,14.069232
-144.13301,200,14.152439
-149.58259,200,14.235353
-141.91199,200,14.319184
-147.883794,200,14.401769
-153.987155,200,14.486673
-134.325028,200,14.574768
-148.002592,200,14.660751
-129.094027,200,14.762893
-135.076671,200,14.860612
-118.899785,200,14.947893
-153.862633,200,15.038023
-136.719852,200,15.138865
-137.820007,200,15.228693
-142.163322,200,15.314416
-133.734401,200,15.400616
-122.475876,200,15.48855
-127.293077,200,15.586334
-114.120499,200,15.70393
-138.509265,200,15.807177
-121.166411,200,15.894297
-132.18849,200,16.013721
-136.424782,200,16.14076
-119.222185,200,16.23652
-127.94123,200,16.324799
-134.685031,200,16.411417
-141.96879,200,16.497161
-121.113335,200,16.588335
-138.839943,200,16.68189
-127.74777,200,16.769391
-125.043895,200,16.854222
-124.21926,200,16.936703
-118.457661,200,17.020519
-139.900646,200,17.102682
-133.839227,200,17.188617
-117.526739,200,17.269735
-123.43061,200,17.351917
-136.794959,200,17.43288
-145.981696,200,17.515331
-133.52837,200,17.602268
-138.162667,200,17.688763
-129.522705,200,17.774958
-133.677432,200,17.85796
-130.004069,200,17.944656
-142.270365,200,18.029398
-146.447738,200,18.117124
-131.267615,200,18.202004
-133.827298,200,18.289245
-138.543283,200,18.37423
-120.587121,200,18.456217
-140.064577,200,18.538163
-124.600144,200,18.623175
-130.265911,200,18.706878
-135.055474,200,18.791089
-122.075117,200,18.880985
-127.109308,200,18.971681
-115.891098,200,19.060669
-133.087384,200,19.151481
-144.105685,200,19.245679
-139.635085,200,19.333855
-126.745593,200,19.433043
-125.281255,200,19.550889
-130.905391,200,19.654664
-129.917206,200,19.758013
-137.02792,200,19.86476
-134.882208,200,19.953367
-144.694311,200,20.040506
-121.909007,200,20.12843
-115.383972,200,20.216387
-129.229705,200,20.305702
-134.879464,200,20.397277
-118.636185,200,20.482066
-140.494775,200,20.566659
-128.831858,200,20.651004
-134.867338,200,20.738315
-121.799566,200,20.825503
-123.926372,200,20.91126
-128.157072,200,20.998282
-116.843034,200,21.089705
-127.063135,200,21.17642
-127.847164,200,21.259864
-124.859489,200,21.343695
-124.517559,200,21.430756
-138.143814,200,21.515706
-146.520625,200,21.60077
-123.591491,200,21.684663
-128.029016,200,21.768195
-137.923287,200,21.852318
-147.793678,200,21.936144
-121.426376,200,22.021061
-146.30595,200,22.105367
-140.508695,200,22.19688
-127.785357,200,22.292051
-123.68431,200,22.379057
-130.000269,200,22.465074
-135.977477,200,22.550064
-143.47087,200,22.635125
-124.555356,200,22.720299
-115.880969,200,22.805954
-124.27018,200,22.892922
-131.044044,200,22.978047
-123.464637,200,23.063459
-154.953188,200,23.14909
-124.03974,200,23.234941
-137.821459,200,23.320635
-120.937571,200,23.407049
-149.437671,200,23.493043
-141.908941,200,23.578264
-140.818072,200,23.660074
-114.836548,200,23.742603
-127.772259,200,23.829931
-126.251726,200,23.916816
-131.667859,200,24.002423
-145.648255,200,24.08865
-120.177249,200,24.174237
-116.838883,200,24.258645
-123.209598,200,24.342949
-123.8329,200,24.425541
-135.917333,200,24.51063
-138.355931,200,24.594779
-143.161563,200,24.676457
-134.729722,200,24.761175
-131.857015,200,24.846008
-135.734789,200,24.930046
-109.446868,200,25.016362
-137.640438,200,25.105579
-124.096735,200,25.193296
-148.242749,200,25.279844
-109.684194,200,25.362777
-117.503808,200,25.450639
-148.644882,200,25.534867
-127.791964,200,25.619369
-129.605528,200,25.703563
-138.060383,200,25.787872
-132.895721,200,25.87277
-121.320459,200,25.954791
-127.643006,200,26.040066
-130.393971,200,26.127462
-126.763817,200,26.212742
-136.658384,200,26.298223
-127.504932,200,26.381041
-115.710321,200,26.466058
-147.831956,200,26.550397
-128.696966,200,26.633648
-128.420298,200,26.720877
-135.568368,200,26.807475
-124.913993,200,26.904021
-126.841597,200,27.010791
-138.171979,200,27.123994
-124.50153,200,27.229867
-134.352616,200,27.318399
-122.34945,200,27.406452
-135.252897,200,27.494046
-125.638151,200,27.580162
-137.911439,200,27.666277
-115.006039,200,27.750731
-126.692677,200,27.836082
-157.967612,200,27.920634
-136.648414,200,28.004603
-138.433783,200,28.094169
-122.725103,200,28.188792
-127.661147,200,28.273419
-140.218177,200,28.371244
-118.302805,200,28.460851
-121.870941,200,28.550671
-133.74555,200,28.63646
-133.550527,200,28.720791
-132.751177,200,28.804483
-118.891958,200,28.888665
-132.772901,200,28.972923
-123.37831,200,29.057881
-122.167307,200,29.143451
-119.415008,200,29.23223
-124.994711,200,29.321239
-123.436862,200,29.408068
-120.163721,200,29.492873
-131.982222,200,29.581908
-130.534952,200,29.668821
-121.260899,200,29.753704
-125.079964,200,29.83959
-130.333122,200,29.924711
-131.768287,200,30.011454
-130.549646,200,30.099412
-130.736534,200,30.1899
-130.253268,200,30.276823
-140.412801,200,30.361994
-132.32377,200,30.449504
-143.653499,200,30.535637
-150.133006,200,30.619829
-135.660943,200,30.703577
-122.141807,200,30.78748
-127.039165,200,30.870642
-123.837894,200,30.952894
-123.88883,200,31.041609
-127.259651,200,31.131998
-119.2256,200,31.22147
-127.688783,200,31.313747
-115.498302,200,31.400112
-142.169172,200,31.486944
-139.610021,200,31.572348
-141.114508,200,31.656704
-153.445531,200,31.738161
-133.149208,200,31.821756
-127.403627,200,31.904698
-136.250258,200,31.99666
-149.294185,200,32.08308
-149.351112,200,32.174262
-144.643501,200,32.258516
-132.107638,200,32.345278
-138.291689,200,32.43104
-135.347405,200,32.516217
-133.620801,200,32.601577
-131.360258,200,32.68637
-122.046373,200,32.768643
