#{"t_start": 1781107430.0141687, "env_id": "None"}
r,l,t
-236.58872,200,1.017536
-303.63505,200,1.106757
-241.754004,200,1.199356
-239.713596,200,1.287251
-251.167818,200,1.377911
-276.815266,200,1.469948
-319.639653,200,1.565157
-248.095855,200,1.656903
-248.078816,200,1.742953
-222.470929,200,1.833121
-264.468994,200,2.698191
-229.176119,200,2.785642
-287.816869,200,2.878713
-220.061099,200,2.969531
-202.15532,200,3.050584
-241.170677,200,3.144365
-213.460453,200,3.227833
-251.830174,200,3.312903
-233.616416,200,3.418763
-230.094894,200,3.529409
-213.49166,200,4.616502
-236.045138,200,4.733053
-230.201193,200,4.851158
-237.398519,200,4.962976
-216.468353,200,5.071344
-240.556196,200,5.163345
-232.255597,200,5.270668
-224.387936,200,5.363887
-250.275231,200,5.452345
-218.366229,200,5.539263
-226.019915,200,6.27108
-238.499707,200,6.35649
-223.055027,200,6.446576
-202.290241,200,6.538251
-245.146069,200,6.623859
-203.806517,200,6.707258
-199.627378,200,6.797079
-260.777526,200,6.880962
-216.388008,200,6.969177
-225.759863,200,7.051259
-229.837214,200,7.98055
-196.934009,200,8.102538
-224.085509,200,8.224772
-199.004775,200,8.346796
-208.690338,200,8.468631
-191.419547,200,8.588975
-213.320577,200,8.709367
-203.170967,200,8.831499
-216.035012,200,8.9547
-194.374065,200,9.078007
-205.639154,200,9.201523
-187.507137,200,10.098721
-196.869288,200,10.191086
-185.062841,200,10.274223
-210.569662,200,10.359713
-215.972268,200,10.439523
-191.528458,200,10.526662
-244.096897,200,10.620335
-205.431204,200,10.727276
-209.230595,200,10.847646
-207.984705,200,10.94267
-192.796405,200,12.038166
-189.626398,200,12.157026
-196.75121,200,12.279439
-171.41033,200,12.4008
-203.111307,200,12.522403
-184.058691,200,12.643675
-207.538538,200,12.764037
-187.760711,200,12.883663
-194.713582,200,13.002687
-188.735091,200,13.123246
-193.971397,200,14.109634
-184.420622,200,14.200499
-163.874752,200,14.288582
-182.736558,200,14.388946
-185.769986,200,14.486524
-180.582689,200,14.586462
-180.205721,200,14.707897
-183.080619,200,14.82712
-213.821096,200,14.921845
-183.735088,200,15.015921
-177.586507,200,15.804627
-167.383769,200,15.897972
-189.693158,200,15.988313
-189.66893,200,16.082158
-190.552589,200,16.174099
-164.561289,200,16.284658
-185.600821,200,16.405278
-174.114366,200,16.526016
-161.542939,200,16.635581
-177.630252,200,16.725891
-178.947318,200,16.815356
-170.127456,200,17.571062
-163.806262,200,17.671869
-185.793323,200,17.762377
-163.564177,200,17.85218
-164.198996,200,17.934053
-175.473033,200,18.032174
-174.741551,200,18.128504
-159.312638,200,18.216654
-180.435451,200,18.304442
-170.7109,200,18.391157
-169.510265,200,19.235791
-182.810457,200,19.331254
-165.909162,200,19.421213
-187.203794,200,19.526251
-192.664939,200,19.624081
-169.282811,200,19.746353
-169.468127,200,19.869233
-174.565145,200,19.995769
-179.625716,200,20.121249
-186.318301,200,20.227293
-160.72368,200,21.054046
-199.033684,200,21.161542
-147.980403,200,21.260255
-175.885004,200,21.358549
-165.681091,200,21.449272
-178.487716,200,21.528277
-174.471643,200,21.619812
-159.00613,200,21.71226
-188.744918,200,21.806027
